id,Fund,Fiscal_Year,State,County,latitude,longitude,Sponsor,Project,DHEC Project Number,Project Description,SC Water System ID Number,Total Project Cost Estimate,Estimated SRF Loan Amount,Estimated Principal Forgiveness Assistance 1,Estimated Green Project Reserve Amount 2,Sponsor's Service Population,Population Affected by Project,Total Points,Note
91,DWSRF,2020,South Carolina,Charleston ,32.80991681,-79.83313554,Mount Pleasant Waterworks,Replacement of Deep Well 2,1010002-09,"Construct the surface facility for a new well to replace the source well for ROWTP 2, which is off-line after Deep Well 2 began producing sand and corroded materials.",,"$5,000,000",2000000,,,,24215,20,
92,DWSRF,2020,South Carolina,Spartanburg ,34.95364078,-82.10182194,Spartanburg Water,Wellford Waterline Improvements,4220006-08,"Replace ~37,000 linear feet of aging and small diameter waterlines with new 4-inch and 6-inch PVC waterlines and install new fire hydrants and associated appurtenances.",,"$3,900,000",3400000,,,,1000,20,
93,DWSRF,2020,South Carolina,Anderson,34.78802232,-82.48343472,Powdersville Water District,"S. Fishtrap 24"" Transmission Main & 88 Tank 16"" Connector Main",0420002-06,"Install ~9,300 LF of 24"" main to replace an unreliable 12"" asbestos cement main and facilitate the transition to a compatible primary source of purchased water and install
~8,000 LF of 16"" water main to improve water quality in the lower part of the system.",,"$4,566,100",4566100,,,,35000,20,
94,DWSRF,2020,South Carolina,Berkeley,33.25618267,-79.96163247,Berkeley County Water & Sanitation,Hwy 176 Water Relocation,0820002-09,"Relocate ~32,000 linear feet of 16"" and 12"" water lines and appurtenances along Hwy 176 to accommodate road widening.",,"$3,650,000",3650000,,,,15000,10,
95,DWSRF,2020,South Carolina,Berkeley,33.25618267,-79.96163247,Berkeley County Water & Sanitation,Whitesville Water Project,0820002-10,"Raise water tower elevation and construct new 16"" water main to increase water pressure.",,"$4,000,000",4000000,,,,64000,10,
96,DWSRF,2020,South Carolina,Marlboro ,34.62286944,-79.68382359,Bennettsville,Lime Chemical Feed System,3410001-02,Installation of a lime chemical feed system to correct low alkalinity in the City's source water and address a violation in turbidity related to the low alkalinity.,,"$520,000",,508000,,,9100,125,
97,DWSRF,2020,South Carolina,Hemingway ,33.75347169,-79.44660913,Hemingway,Industrial Park Well Generator,4510004-02,Install an emergency generator for a well that serves the northern portion of the Town's service area to address storm-related power failures that can leave residents without potable water.,,"$189,200",,_,189200,,1557,90,ASADRA
98,DWSRF,2020,South Carolina,Florence ,33.81678403,-79.44937129,Johnsonville,Kingsburg Well Generator,2110011-01,Install an emergency generator for a well that serves ~2000 residents north of the town to address storm-related power failures that can leave a portion of Town without potable water.,,"$242,000",,_,242000,,2000,85,ASADRA
99,DWSRF,2020,South Carolina,Chesterfield,34.69746252,-79.89220697,Cheraw,Emergency Interconnection Improvement,1310001-02,"Improvement of existing booster pump station to include addition of generator and pipe modifications to allow bi-directional flow with Chesterfield County Rural Water. Also, SCADA improvements and addition of second flow meter.",,"$330,000",,_,330000,,5840 + CCRW,25,ASADRA
100,DWSRF,2020,South Carolina,Horry ,33.71331325,-78.86833679,Myrtle Beach,Water Transmission Main Protective Measures - Pressure Reducing Valve Installation,2610001-02,Upgrade eleven aging pressure reducing valves to regulate and maintain proper pressures throughout the distribution system to prevent adverse impacts to system and maintain service for customers.,,"$2,524,634",,2524634,_,,20955,20,ASADRA
101,DWSRF,2020,South Carolina,Colleton ,32.90954865,-80.67334974,Walterboro,Emergency Generator & Chlorination System for Mable T Willis Blvd. Well,1510004-01,"Install an emergency generator and chlorination system for a new well being constructed that will replace two wells that had to be taken out of
service.",,"$265,988",,_,265988,,7029,15,ASADRA
102,DWSRF,2020,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,Old Hwy 90 Elevated Storage Tank,2620004-26,"Construct a 500,000 gallon elevated water storage tank and extend a 12"" waterline to serve the tank to provide back-up water supply during a natural disaster.",,"$1,750,000",,1750000,_,,240000,10,ASADRA
103,DWSRF,2020,South Carolina,Darlington,34.33730456,-80.18292821,Darlington County W&SA,Ashland Area Water Storage,1620001-03,"Construct a two million gallon above-ground storage tank, two booster pumps and install an emergency generator at the existing Ashland Water Treatment Plant to provide additional potable water during natural disasters.",,"$3,025,000",,3025000,_,,45911,10,ASADRA
104,DWSRF,2020,South Carolina,Marlboro ,34.62286944,-79.68382359,Bennettsville,Emergency Generators,3410001-03,Installation of permanent emergency generators for the City's three well sites. This would allow the groundwater wells to provide drinking water to the entire system if the surface water treatment plant were to go offline.,,"$230,000",_,230000,,9100,9100,85,Added in FY2021
105,DWSRF,2020,South Carolina,Barnwell ,33.27406865,-81.24619068,Hilda,Old Jack Road Well,0610004-02,Engineering services for installation of a new 230 GPM well to replace the Town's second well taken out of service due to a critical failure of well infrastructure.,,"$395,507",_,39000,,311,311,30,Added in FY2021
106,DWSRF,2020,South Carolina,Clarendon,33.69355949,-80.21570509,Manning,2020 Well Improvements,1410002-02,Engineering services for well improvements to include lowering piping and pumps in two wells to protect pump operations threatened by lower ground water levels due to climate change and regional usage.,,"$150,000",_,27922,,6673,6673,15,Added in FY2021
107,DWSRF,2021,South Carolina,Saluda ,34.00523786,-81.77229379,Saluda Commission of Public Works,TTHM Reduction,4110001-01,"Installation of aeration units at two elevated tanks, piping modifications, and a booster pump station to reduce Total Trihalomethanes (TTHMs) in the Town's drinking water.",,"$768,720",_,768720,,3625,3625,100,
108,DWSRF,2021,South Carolina,Cherokee,35.03299829,-81.58462186,Draytonville Water Works,Disinfection Byproduct (TTHM) Control 2020,1120003-01,Evaluation of the Draytonville system to identify and prioritize treatment methods to be constructed to reduce the formation of TTHMs within the system to address a DHEC Consent Order.,,"$474,030",_,66530,,1904,971,100,
109,DWSRF,2021,South Carolina,Cherokee ,35.12163643,-81.51615921,Blacksburg,Disinfection Byproduct (TTHM) Control 2020,1110002-01,Evaluation of the Town's water system to identify and prioritize treatment methods to be constructed to reduce the formation of TTHMs within the system to address a DHEC Consent Order.,,"$566,530",_,65930,,3820,955,100,
110,DWSRF,2021,South Carolina,Oconee ,34.88961486,-82.97440451,Salem,Fall Creek Service Water Pump Station,3710001-02,"Construct a new pump station and install control telemetry, an emergency backup generator, and ~3000 feet of small diameter water main to connect to another water provider and decrease the runtime of existing pumps.",,"$270,000",_,216000,,2353,1100,45,
111,DWSRF,2021,South Carolina,Abbeville,34.17819824,-82.37917744,Abbeville,McGowan Water Line Replacement,0110001-04,"Replacement of ~ 4,000 linear feet of old and deteriorating cast iron water line with PVC pipe.",,"$775,000",_,575000,,5362,500,30,
112,DWSRF,2021,South Carolina,Orangeburg ,33.53053781,-80.57116227,Elloree,2020 Water Improvements,3810003-02,"Replace ~2,500 LF of aging asbestos cement water mains.",,"$287,001",_,287001,,1450,1450,30,
113,DWSRF,2021,South Carolina,Kershaw ,34.41456185,-80.34695757,Bethune Rural Water Company,Rehabilitation of Two Elevated Storage Tanks,2820006-04,Rehabilitate two elevated water storage tanks - the Highway 111 Tank and the Buffalo Tank - to maintain compliance with DHEC regulations.,,"$561,600",_,561600,,2600,2600,30,
114,DWSRF,2021,South Carolina,Orangeburg ,33.44990983,-81.12648095,Norway,Water System Infrastructure Sustainability Plan,3810008-01,Multi-faceted evaluation of the Town's water system that will result in a hydraulic model to identify low pressure zones and underperforming areas within the system's aging infrastructure.,,"$465,000",_,465000,,775,775,30,
115,DWSRF,2021,South Carolina,Darlington ,34.37618598,-80.05287486,Hartsville,Smith Street Well,1610003-02,Install a well on the high pressure side of the city's water system to reduce the strain on aging infrastructure in the low pressure side of the system and maintain adequate pressures on both sides of the system.,,"$1,497,000",1000000,0,,8575,8575,30,
116,DWSRF,2021,South Carolina,Anderson,34.78802232,-82.48343472,Powdersville Water District,"Three Bridges Rd. 20"" Transmission Main",0420002-07,"Install 11,100 linear feet of 20-inch water main to improve flow patterns through a distribution system that crosses four pressure zones with different hydraulic gradients.",,"$2,776,400",2776400,0,,35000,35000,10,
117,DWSRF,2021,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,International Drive 36-in Transmission Main,2620004-27,Install approximately nine miles of 36-in transmission main and appurtenances to increase reliability and redundancy in the water supply to the northern end of the Bull Creek Water System.,,"$20,700,000",20700000,0,,309000,309000,10,
118,DWSRF,2021,South Carolina,Lexington ,33.81842881,-81.10091818,Gaston Rural Community Water District,District 5,3220002-03,"Replacement of existing asbestos cement piping that has a high rate of failure which affects system pressures and has resulted in ~500,000 gallons of water loss per year.",,"$600,000",,600000,,7186,7186,85,Added in FY2022
119,DWSRF,2022,South Carolina,Clarendon ,33.88599761,-80.00994823,Turbeville,Cypress Street Well Replacement,1410004-02,Install a well and appurtenances to maintain adequate water supply after taking two aging wells off-line.,,"$751,235",-,251235,,1520,1520,95,
120,DWSRF,2022,South Carolina,York ,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Plant Alum Sludge Dewatering Facility,4610002-11,Construction of alum sludge dewatering facilities to allow the sludge to be dewatered at the WTP and then disposed of offsite. Also construction of a chemical feed facility.,,"$10,000,000",10000000,-,,84000,127000,80,
121,DWSRF,2022,South Carolina,Abbeville ,34.09202812,-82.59570885,Calhoun Falls,Water System Improvements FY21,0110002-05,"Replacement or repair of leaking, dilapidated, tuberculated and undersized water lines.  Including aging water lines in the Mill Village area of town, many of which are located in rear yard easements.",,"$3,400,000",-,500000,,2004,2004,35,
122,DWSRF,2022,South Carolina,Kershaw ,34.41456185,-80.34695757,Bethune Rural Water Company,Water Tank Rehabilitation,2810002-01,Rehabilitation of existing elevated water tank to include sandblasting and painting of interior and exterior surfaces and improvements to the water treatment equipment and facilities.,,"$325,000",-,325000,,488,488,35,
123,DWSRF,2022,South Carolina,Abbeville,34.17819824,-82.37917744,Abbeville,Henry St. and Hillcrest Dr. Water Line Replacement,0110001-05,"Replacement of ~2,400 linear feet of old and deteriorating cast iron water line with PVC pipe.",,"$600,000",-,500000,,5362,475,30,
124,DWSRF,2022,South Carolina,Anderson ,34.44863408,-82.39190412,Honea Path,Water System Improvements FY21,0410003-02,"Replacement or repair of leaking, dilapidated, tuberculated and undersized water lines. Including aging water lines in the Chiquola Mill area of town, many of which are located in rear yard easements.",,"$3,100,000",-,500000,,3597,3597,30,
125,DWSRF,2022,South Carolina,Calhoun ,33.66349077,-80.77754722,St. Matthews,Water Infrastructure Evaluation & Planning Study,0910001-02,"Perform a study of the Town's supply and distribution system to identify problem areas, prioritize improvements and identify funding sources.",,"$50,000",-,50000,,2650,2650,30,
126,DWSRF,2022,South Carolina,Clarendon ,33.89989298,-80.04940449,Turbeville,Puddin Swamp Road Water Main Extension/Looping,1410004-01,Extend waterline piping to create a loop in the Town's distribution system to address turbidity and low pressure issues.,,"$577,481",-,508833,,850,850,25,
127,DWSRF,2022,South Carolina,Anderson ,34.34079897,-82.67888165,Starr-Iva Water & Sewer District,Kaye Drive Waterline Improvements,0420005-01,Installation of ~3600 linear feet of water mains to improve a distribution system that was improperly installed and is non-compliant with state standards for public water supply.,,"$302,000",302000,-,,4250,33,25,
128,DWSRF,2022,South Carolina,Oconee ,34.66340954,-83.08712913,Westminster,4 Raw Water Intake Pump Replacement & Electrical Improvements,3710003-03,Replacement of raw water intake pumps that have reached the end of their useful life and electrical improvements to improve pump operation and efficiency.,,"$625,000",625000,-,,7600,7600,25,
129,DWSRF,2022,South Carolina,Pickens,34.72236659,-82.77975911,Central,Church St. Water Line Replacement,3910005-01,"Replacement of aging cast iron waterlines that are highly tuberculated and corroded, plus installation of 10 new fire hydrants.",,"$1,379,300",500000,500000,,5159,300,25,
130,DWSRF,2022,South Carolina,Berkeley,33.25618267,-79.96163247,Berkeley County Water & Sanitation,Whitesville/ Cane Bay Water Project,0820002-11,"Demolish water tower and construct a 16"" water main and appurtenances and a 1 MGD water tower to increase water pressure in the service area and to comply with necessary storage requirements.",,"$11,000,000",11000000,-,,64000,64000,20,
131,DWSRF,2022,South Carolina,Anderson,34.78802232,-82.48343472,Powdersville Water District,Three Bridges Rd. - Cely Rd. Transmission Main,0420002-07,"Install ~21,000 linear feet of water main (16"" and 20"") to improve flow patterns through a distribution system that crosses multiple pressure zones with different hydraulic gradients.",,"$4,441,300",4441300,-,,35000,35000,10,
132,DWSRF,2022,South Carolina,Pickens ,34.83028415,-82.86382983,Greenville Water,Adkins Water Treatment Plant Raw Water Transmission Line Improvements,2310001-02,"Install ~4050 linear feet of 54"" water main (as two parallel mains) to replace two existing lines that are not sized to handle flow velocities after upgrades to the raw water pumping station are completed.",,"$7,460,000",7460000,-,,523000,523000,10,
133,DWSRF,2022,South Carolina,York ,34.9628993,-80.99951734,Rock Hill,Mt. Gallant Road Water Tank,4610002-10,"Construction of a new 1.0 MG elevated water tank. The tank will be connected to the 24"" water line that was recently installed along Mt. Gallant Road.",,"$5,600,000",5400000,-,,84000,8458,10,
134,DWSRF,2023,South Carolina,Lexington,33.89995404,-81.53879734,Joint Municipal Water & Sewer Commission,Water Supply to Batesburg- Leesville3,3220003-07,"The project will include the extension of approximately 40,000 LF of 16-inch water main, one booster station, one 500,000 Gallon Elevated Water tank, fire hydrants and associated appurtenances.",3220003,"$32,477,382",20000000,$                        -,,49761,7800,35,Base Capitalization
135,DWSRF,2023,South Carolina,Lexington,33.89995404,-81.53879734,Batesburg-Leesville,Finished Water Supply to Batesburg-Leesville from Joint Municipal Water and Sewer Commission3,3210002-04,"The project will decommission the existing aging Batesburg- Leesville water treatment facility and limited water supply. A new finished water supply from JMWSC will be conveyed though approximately 32,000 LF of 16-inch water main, booster pump station, and associated appurtenances.",3210002,"$17,100,000",2600000,250000,,5402,2957,35,Base Capitalization
136,DWSRF,2023,South Carolina,McCormick ,33.91251078,-82.29212706,McCormick Commission of Public Works,Isolation Valve Installation,3510001-05,This project will replace inoperative or aging valves to prevent a catastrophic loss of water and prevent dangerously low water levels in elevated storage tank.,3510001,"$1,111,034",$                      -,996557,,2320,885,30,Base Capitalization
137,DWSRF,2023,South Carolina,Chesterfield,34.69746252,-79.89220697,Cheraw,Water Plant Improvements 2022,1310001-03,"Improvements to water treatment plant include: repair of tank farm containment wall, rehab of 207 If of 18 and 21"" drain pipe, concrete beam repair, flash mix foundation repair and electrical breaker replacement.",1310001,"$467,165",$                      -,422465,,6595,2860,30,Base Capitalization
138,DWSRF,2023,South Carolina,Hemingway ,33.75347169,-79.44660913,Hemingway,Lead Service Line Inventory,4510004-04,"A partial lead service line inventory will be completed, utilizing a vac truck to expose and check the material type on service lines.",4510004,"$75,000",$                      -,75000,,400,400,30,Base Capitalization
139,DWSRF,2023,South Carolina,Union ,34.72298171,-81.61984793,Union,WTP Electrical and Instrumentation Upgrade,4410001-02,"Replacement of the main electrical feeders, breakers, and wiring at the City's Water Treatment Plant.The project will also include the replacement and upgrades to the SCADA monitoring/control system and the replacement of approximately 38 electric valve actuators for the filter piping system.",4410001,"$1,100,000",1000000,$                        -,,11900,24645,20,Base Capitalization
140,DWSRF,2023,South Carolina,Marlboro ,34.64354719,-79.6689704,Marlboro County / Marlboro Water Company,New Production Well and Treatment Facility - Phase I,3420001-01,"The project includes the construction of a test well, new production well, pump, piping, electrical, and all necessary appurtenances.  The new well will improve system hydraulics and allow other system wells to be taken off-line and serviced.",3420001,"$703,500",$                      -,703500,,4588,2163,20,Base Capitalization
141,DWSRF,2023,South Carolina,Georgetown,33.45012228,-79.56348181,Andrews,Town Wide Water System Modeling  Mapping and Capital Improvement Plan,2210003-01,Perform system wide modeling and mapping to development CIP plans to improve the quality and delivery of water to the Town of Andrews existing customers.,2210003,"$97,000",$                      -,97000,,2866,1559,20,Base Capitalization
142,DWSRF,2023,South Carolina,Berkeley ,33.02261303,-80.17280629,Summerville CPW,Sawmill Branch Water Supply - Booster Pumping & Storage Improvements,1810003-01,"The project includes two (2) 1.0 million gallon ground storage tanks and a booster pump station downstream of Summerville CPW's metered connection to the Santee Cooper Water System. Additionally, it includes an approximately 7,000 LF 30-inch transmission main from the proposed booster pump station to run parallel to the existing 24-inch transmission main.",1810003,"$10,064,410",8000000,$                        -,,80873,80873,20,Base Capitalization
143,DWSRF,2023,South Carolina,Darlington,34.33522632,-80.04340596,Darlington County W&SA,DCWSA Line Extensions Phase 222,1620001-04,"The project consists of adding water mains and services to areas where drinking water wells were contaminated with PFAS. Well test reports were provided by SCDHEC and EPA.  The following roads will be affected: Journeys End Road, Auburn School Road, E. Carolina Avenue, Auburndale Drive, Black Creek Road, E. Home Avenue, Everlasting Branch Road, Society Hill Road, White Circle, Bethlehem Road, N. Rolling Road, Levensworth Road, Quiet Brook, W. Horse Branch Road, Running Brook Road, Mont Clare Road, 1001 Bethlehem Road and Pim Farms Road.  Additional roads may be added as more sampling results are received.",1620001,"$4,000,000",$                      -,4000000,,46000,118,160,Emerging Contaminants
144,DWSRF,2023,South Carolina,Lexington ,34.04210414,-81.37485833,Gilbert-Summit Rural Water District,Siesta Cove Water Main Extension2,3220001-05,"The project will start at a tie point to the Gilbert-Summit Rural Water District water system along Shore Road then follow Shull Island Road, State Road S-32-1157, Jesse Burton Road, John Long Road and then tying to the Siesta Cove Water System.
The tie point to Siesta Cove system is approximately
34d2'47.88""N and 81d22'37.24""W.",3220001,"$1,546,000",$                      -,1546000,,8855,40,105,Emerging Contaminants
145,DWSRF,2023,South Carolina,Columbia,34.09548648,-81.22423933,Joint Municipal Water & Sewer Commission,Water Supply to Batesburg- Leesville2,3220003-07,"The project will include the extension of approximately 40,000 LF of 24-inch water main, one booster station, one 500,000 Gallon Elevated Water tank, fire hydrants and associated appurtenances.
The existing source for the Town of Batesburg-Leesville has PFOS and PFOA levels above the proposed regulatory limits according to sampling performed in 2020.  The source from JMWSC (West Columbia Lake Murray WTP) has PFOS and PFOA levels that are lower.",3220003,"$33,000,000",$                      -,5196000,,49761,7800,95,Emerging Contaminants
146,DWSRF,2023,South Carolina,Florence ,33.81678403,-79.44937129,Johnsonville,LSL Replacements2,2110011-02,"The project will include replacing approximately 500 LSLs in primarily disadvantaged communities. The City is proposing to replace the entirety of the LSL, from the water main to the foundation of the building/building plumbing.
Existing LSLs will be replaced with HDPE service line of the appropriate size (3/4"" to 1""). The City intends to contract with AECOM Technical Services, Inc. to manage the technical and engineering aspects of the project and the costs for engineering services will be included in the total project cost in the application for funding.",2110011,"$1,417,500",$                    -,1417500,,5333,1200,85,Lead Service Line Replacement
147,DWSRF,2023,South Carolina,Florence ,33.86833615,-79.75676661,Lake City,Lead Service Line Replacement2,2110007-01,"The City of Lake City proposes to replace the lead gooseneck fittings at approximately 300 water service addresses within the city limits.  The water services will be replaced with fittings with components that meet the requirements of 40CFR143, and comply with State and local plumbing and building codes. The project will include restoring affected properties to the conditions they were in prior to construction.  The project will also include engineering design, construction administration, and construction observation.",2110007,"$858,750",$                    -,858750,,5929,753,85,Lead Service Line Replacement
148,DWSRF,2023,South Carolina,Charleston ,32.78646196,-79.93689522,Charleston Water System,Charleston Water System Lead Service Line Replacement2,1010001-08,"The removal and replacement of known lead services lines in the distribution system with no record of previous renewals and in areas below the SC median household income (MHI) level. Replacement project will include new service taps at the distribution mains, installation of new copper service lines from the distribution main to the customer premise, the replacement of the private service line to water inlet of the structure, distribution of lead safe filter pitchers to all affected households, and all necessary site restoration including landscaping and road work.",1010001,"$33,929,743",11751158,12681293,,450000,3416,80,Lead Service Line Replacement
149,DWSRF,2023,South Carolina,Florence,34.18366437,-79.77392906,Florence,Service Line Replacement in North Florence  for Lead and Copper Rule2,2110001-05,The City of Florence is requesting funding for the replacement of service lines on private property as well as the City's side as part of the Lead and Copper Rule.  The service lines on private property would be replaced up to the foundation of the house.  In addition the City is proposing to add the replacement of the galvanized line on Bradford Street.,2110001,"$8,582,753",2810813,3033297,,71583,4833,80,Lead Service Line Replacement
150,DWSRF,2023,South Carolina,Allendale,33.00781815,-81.30868717,Allendale,Water System Assessement,0310001-01,"The assessment will update mapping of the water distribution system including location of fire hydrants, blow-offs, valves and backflow devices. The assessment will result in a thorough review and evaluation of the town's water system. It will locate and document system components, detail needed repairs and improvements, and provide a plan a to bring the system in compliance with State Primary Drinking Water Regulations.",310001,"$250,000",$                     -,250000,,2738,2738,135,General Supplemental
151,DWSRF,2023,South Carolina,Williamsburg ,33.58026499,-79.98932504,Greeleyville,Water System Reliability & Efficiency Improvements Project and Lead Service Line Inventory,4510001-03,"Renovate two regional connections #1 & #2 between the Greeleyville water system and the Williamsburg County water system, install SCADA on the water system, repaint the existing tank, and install roof over electrical panel at existing well #2.
Lead Service Line inventory per DHEC guidance.",4510001,"$450,000",$                     -,450000,,377,425,115,General Supplemental
152,DWSRF,2023,South Carolina,Hemingway ,33.75347169,-79.44660913,Hemingway,Highway 261 Water System Upgrades,4510004-03,"Project to replace old 6"" and 8"" lead joint, cast iron water lines, small diameter galvanized water lines, and lead gooseneck services, which are prone to leaks, water quality issues and low pressures with new 6"" and 8"" PVC water lines and new polyethylene services.",4510004,"$999,250",$                     -,999250,,385,62,110,General Supplemental
153,DWSRF,2023,South Carolina,Fairfield ,34.33723404,-81.14215911,Winnsboro,WTP Improvements,2010001-02,"Upgrade from a manual carbon feed system at water treatment plan  to an automated one. Addresses uncompleted item in DHEC consent order 11-071-DW, for non-compliance on Total Organic Carbon (TOC) regulations.",2010001,"$511,250",$                     -,475000,,7888,4418,95,General Supplemental
154,DWSRF,2023,South Carolina,Saluda ,34.00523786,-81.77229379,Saluda County Water and Sewer Authority -,Highway 39 Booster Pump Station,4120001-01,The Project includes the construction of an in-line booster pump station to provide potable water to the town of Ridge Spring and address pressure issues due to the elevation in this area.,4120001,"$2,010,250",$                     -,1000000,,3558,1486,40,General Supplemental
155,DWSRF,2023,South Carolina,Anderson ,34.52292616,-82.49449834,Belton,Water System Improvements FY23,0410004-02,"The project will replace/upgrade leaking, dilapidated, tuberculated and undersized water lines and eliminate lead joint cast-iron water lines and Asbestos Cement water lines in the Abney Mill Village on the North side of City.  A portion of the project will replace the existing undersized, leaky and tuberculated galvanized water lines with upsized water lines as flow, discoloration and pressure problems exist in the (Hazel Dr., Westwood Dr., Lowe St., Hiawatha Dr. Redwood Dr.) area.",410004,"$8,671,960",$                     -,990000,,4484,37,35,General Supplemental
156,DWSRF,2023,South Carolina,Union ,34.79072514,-81.46359497,Lockhart,Summit Drive Waterline Upgrade,4420010-02,"Upgrade of the waterline on Summit Drive from the water tank south to the connection with Lockhart Drive. Project includes 4,874 LF of 6"", 4"" & 2"" water lines; 50 valves; 11 fire hydrants; 12 service reconnections; and pavement replacement",4420010,"$1,446,615",$                     -,500000,,533,245,35,General Supplemental
157,DWSRF,2023,South Carolina,Florence ,33.936348,-79.93234141,Olanta, Lead Service Line Inventory and Replace Water Mains,2110006-04,LSL inventory per DHEC guidance.  Drinking water distribution system improvements including replacing galvanized and asbestos-cement mains.,2110006,"$6,614,719",$                     -,998916,,551,372,30,General Supplemental
158,DWSRF,2023,South Carolina,Clarendon ,33.51076471,-80.30842057,Summerton,Goat Island Water System Improvements,1410003-05,"Construction of a 150,000 gallon elevated water storage tank and waterline extensions connecting Gin Pond water system to Goat Island water system.","0145005,
1450012,
1450008,
1450006","$2,152,000",$                     -,1152000,,916,292,30,General Supplemental
159,DWSRF,2023,South Carolina,Williamsburg ,33.5245672,-79.87943265,Lane,Lane Water System Improvements  Lead Service Line Inventory and Replace Water Mains,4510056-04,"Repaint and repair tank, renovate well electrical, rebuild master meter connection and add SCADA.  Lead Service Line inventory per DHEC guidance.  Replace asbestos-cement mains.",4510005,"$1,000,000",$                     -,1000000,,443,264,30,General Supplemental
160,DWSRF,2023,South Carolina,Chesterfield ,34.65418178,-80.38868895,Jefferson,Downtown Waterline Upgrades,1310005-03,"Project to replace old 6"" and 8"" cast iron and asbestos cement water lines which are prone to leaks, water quality issues and low pressures with new 6"" and 8"" PVC water lines.",1310005,"$1,499,810",$                     -,999810,,704,125,30,General Supplemental
161,DWSRF,2023,South Carolina,Abbeville,34.17819824,-82.37917744,Abbeville,Haigler-Harrisburg Water Line Replacement,0110001-06,"This project includes the replacement of approximately 4,460 LF of aging 8"" and 10"" cast-iron water mains that includes nine (9) water main tie-ins, installation of fourteen (14) gate valves, one
(1) new fire hydrant assembly and approximately forty-nine (49) service lines.",110001,"$800,004",$                     -,650004,,4958,55,30,General Supplemental
162,DWSRF,2023,South Carolina,Orangeburg ,33.25222466,-80.8161306,Branchville,Water system improvements,3810005-01,Water Distribution system improvements including replacing old aging water lines that form the backbone of the water distribution system and the addition of valves to improve water system control.,381005,"$1,006,000",$                     -,986000,,944,555,30,General Supplemental
163,DWSRF,2023,South Carolina,Hampton ,32.86838648,-81.11301723,Lowcountry Regional Water System, Jackson Avenue Elevated Tank Rehab,2510001-01,"Rehab and repair a 200,000 gallon elevated tank that is nearing 30 years old along with associated well piping and electrical upgrades.",2510001,"$415,000",$                     -,415000,,7017,823,30,General Supplemental
164,DWSRF,2023,South Carolina,Florence ,33.97074855,-79.74767852,Coward,Coward Water System Reliability & Efficiency Improvements,2110012-01,"Renovate Coward-Scranton Connection #1 and #2, regional connections between the two water systems. Add SCADA to the existing water system.",2110012,"$262,000",$                     -,262000,,766,951,30,General Supplemental
165,DWSRF,2023,South Carolina,Pickens ,34.83028415,-82.86382983,Greenville Water,"Adkins 60"" Potable Water Transmission Main - Phase 1A3",2310001-03,"The scope includes a total of 30,900 feet of 60-inch finished water main from the Adkins Water Treatment Plant to approximately Amberwood Rd.  Includes two (2) 60"" Interconnections between parallel water mains.",2310001,"$67,483,000",30000000,$                   -,,660000,660000,20,General Supplemental
166,DWSRF,2023,South Carolina,Abbeville ,34.37690676,-82.34764887,Donalds Due West Water & Sewer Authority,Develop asset management plan,0120001-03,Project includes completion of a utility asset inventory and drafting of a capital improvements plan to define priority improvements and to streamline long-term asset management strategy.,12001,"$290,000",$                     -,290000,,2501,2501,20,General Supplemental
167,DWSRF,2024,South Carolina,Berkeley,33.25618267,-79.96163247,Berkeley County Water & Sanitation,Sandy Run Water Line,0820002-15,"This project will be 5250 feet of 8 inch PVC waterline connecting to an existing water line on Jedburg road that will serve homes in the vicinity of Sandy Run Circle and a small community water system for a mobile home park in Summerville SC.  This project will include all construction  engineering, surveying, and permitting. Project can serve the 15 trailers in the park and potentially 28 additional dwellings along the road.",820002,"$800,000",$                     -,800000,,76685,115,130,Base Capitalization
168,DWSRF,2024,South Carolina,York ,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Plant Alum Sludge Dewatering Facility3,4610002-11,Construction of alum sludge dewatering facilities to allow the sludge to be dewatered at the WTP and then disposed of offsite. Also construction of a chemical feed facility.,4610002,"$20,837,527",10555847,$                   -,,84000,127000,80,Base Capitalization
169,DWSRF,2024,South Carolina,Saluda ,34.00523786,-81.77229379,Saluda Commission of Public Works,Booster Pump Station Emergency Generators,4110001-02,"Standby diesel generators will be installed at booster pump stations No. 1 and No. 2. These generators will be connected to the SCADA system electrical system, and TTHM System via an automatic transfer switch and will be programed to periodically exercise. These improvements will allow the stations to continue to operate in the event of power failure as well as notify operators.",4110001,"$400,000",$                     -,400000,,3300,3300,35,Base Capitalization
170,DWSRF,2024,South Carolina,McCormick ,33.91251078,-82.29212706,McCormick Commission of Public Works,Mechanical Barscreen and Raw Water Pump Station Improvements,3510001-06,This proposed application incorporates the raw water pump station improvements. The project proposes to install larger raw water pumps with Variable Frequency Drives and a modern electrical system.  SRF is funding engineering only.,3510001,"$5,073,502",$                     -,445283,,2200,2200,30,Base Capitalization
171,DWSRF,2024,South Carolina,Berkeley,33.25618267,-79.96163247,Berkeley County Water & Sanitation,Whitesville/ Cane Bay Water Project3,0820002-11,"Demolish water tower and construct a 16"" water main and appurtenances and a 1 MGD water tower to increase water pressure in the service area and to comply with necessary storage requirements.",820002,"$12,000,000",11000000,$                   -,,64000,64000,20,Base Capitalization
