"","ObjectID","Loc_name","Status","Score","Match_type","Match_addr","LongLabel","ShortLabel","Addr_type","Type","PlaceName","Place_addr","Phone","URL","Rank","AddBldg","AddNum","AddNumFrom","AddNumTo","AddRange","Side","StPreDir","StPreType","StName","StType","StDir","BldgType","BldgName","LevelType","LevelName","UnitType","UnitName","SubAddr","StAddr","Block","Sector","Nbrhd","District","City","MetroArea","Subregion","Region","RegionAbbr","Territory","Zone","Postal","PostalExt","Country","CntryName","LangCode","Distance","X","Y","DisplayX","DisplayY","Xmin","Xmax","Ymin","Ymax","ExInfo","IN_Address","IN_Address2","IN_Address3","IN_Neighborhood","IN_City","IN_Subregion","IN_Region","IN_Postal","IN_PostalExt","IN_CountryCode","USER_Region","USER_State","USER_Borrower_Name","USER_State_Tracking_Number","USER_Type_of_Assistance","USER_Supplemental_Appropriation","USER_Latest_Agreement_Action","USER_Initial_Agreement_Date","USER_Initial_Agreement_Amount","USER_Date_of_Latest_Agreement_Action","USER_Current_Agreement_Amount","USER_Annual_Interest_Rate____","USER_Annual_Fee_Rate____","USER_Annual_Finance_Charge____","USER_Upfront_Fees","USER_Repayment_Period__Years_","USER_Includes_Additional_Subsidy_","USER_Additional_Subsidy_Amount","USER_Green_Project_Reserve__GPR__Total","USER_Hardship_Disadvantaged_Community_","USER_Programmatic_Finance_","USER_Sponsorship_Lending_","USER_Sponsorship_Lending__Implementing_Partner","USER_Conduit_Finance_","USER_Subagreements_To_Date","USER_Total_Non_SRF_Co_funding","USER_Non_SRF_Co_funding___Federal","USER_Non_SRF_Co_funding___State","USER_Non_SRF_Co_funding___Local","USER_Project_Name","USER_Project_Description","USER_Project_Needs_Categories","USER_Facility_Name","USER_NPDES_Permit_Number","USER_Population_Served_by_Project","USER_Project_Start","USER_Project_Completion_Date","USER_Affected_Waterbody_Designation","USER_CWA_Compliance_Objective","USER_Designated_Water_Use___Protect","USER_Designated_Water_Use___Restore","USER_Improvement_or_Maintenance_of_Receiving_Waterbody_","USER_Linked_Assistance_Agreement_","USER_Linked_Assistance_Agreement___State_Tracking_Number","geometry"
"70",70,"World","M",98.01,"A","City of Charlotte, North Carolina","City of Charlotte, NC, USA","City of Charlotte","Locality","City","City of Charlotte","City of Charlotte, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Charlotte","","Mecklenburg County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.83082,35.20797,-80.83082,35.20797,-81.08082,-80.58082,34.95797,35.45797,"","Charlotte, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Charlotte, City of","CS370377-16","Loan","Not Applicable","Initial Agreement",2020-04-07,3244504,2020-04-07,3244504,0,0,0,0,20,"No",0,3244504,"No","No","No",NA,"No",0,0,0,0,0,"Mallard Creek WRF Resuse Line Extension to UNCC","Install approximately 13,000 lf of 16 reuse line along the Mallard and Toby Creek Greenway to provide reclaimed water to the UNCC campus, the Tradition Golf Couse and the Mallard Creek WRF.","Water Conservation - Water Reuse: $3,244,504.00",NA,NA,252750,2021-01-11,2022-07-12,"Not Applicable","Not Applicable",NA,NA,"Not Applicable","No",NA,c(1453158.59041887, 535660.143745806)
"71",71,"World","M",96.86,"A","City of Mount Holly, North Carolina","City of Mount Holly, NC, USA","City of Mount Holly","Locality","City","City of Mount Holly","City of Mount Holly, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Mount Holly","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.01311,35.30751,-81.01311,35.30751,-81.06711,-80.95911,35.25351,35.36151,"","Mount Holly, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Mount Holly, City of","CS370747-02","Loan","Not Applicable","Amendment",2020-04-07,4710000,2023-06-28,3417592,1.42,0,1.42,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"The South Gateway Wastewater Treatment Project","The project will replace an existing 350 gpm duplex pump station and construct a triplex pump station of 1,035 gpm capacity and approximately 9,200 feet of 12 DIP forcemain that will discharge into the Mount Holly WWTP.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $3,417,592.00",NA,NA,16135,2021-07-19,2023-06-28,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1399452.74120858, 572934.102023471)
"72",72,"World","M",95.61,"A","City of Lenoir, North Carolina","City of Lenoir, NC, USA","City of Lenoir","Locality","City","City of Lenoir","City of Lenoir, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lenoir","","Caldwell County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.52701,35.90574,-81.52701,35.90574,-81.60801,-81.44601,35.82474,35.98674,"","Lenoir, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Lenoir, City of","CS370393-07","Loan","Not Applicable","Initial Agreement",2020-03-06,2775000,2020-03-06,2775000,1.13,0,1.13,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Crossroads Sewer Replacement Project","Replacement of 3600 LF of 12-inch gravity sewer with 20-inch and twenty manholes; installation of 600 LF of 8-inch gravity sewer and associated manholes; and service connections.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $2,775,000.00",NA,NA,17938,2022-01-11,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1251718.99636254, 794110.786917451)
"73",73,"World","M",96.1,"A","Town of Troutman, North Carolina","Town of Troutman, NC, USA","Town of Troutman","Locality","City","Town of Troutman","Town of Troutman, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Troutman","","Iredell County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.8855,35.68873,-80.8855,35.68873,-80.9345,-80.8365,35.63973,35.73773,"","Troutman, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Troutman, Town of","CS370580-05","Loan","Not Applicable","Initial Agreement",2020-03-06,856000,2020-03-06,856000,1.13,NA,1.13,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,NA,NA,"Centralized Wastewater Treatment - Sewer System Rehabilitation: $856,000.00",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(1440151.61037636, 710912.36287806)
"74",74,"World","M",100,"M","Yadkin Valley Sewer Authority","Yadkin Valley Sewer Authority, 500 NC Highway 268 W, Elkin, NC, 28621, USA","Yadkin Valley Sewer Authority","POI","Government Office","Yadkin Valley Sewer Authority","500 NC Highway 268 W, Elkin, North Carolina, 28621","(336) 835-9819","www.yvsa.org",22," ","500"," "," "," "," "," "," ","NC Highway 268"," ","W"," "," "," "," "," "," "," ","500 NC Highway 268 W"," "," "," "," ","Elkin"," ","Surry County","North Carolina","NC"," "," ","28621","2811","USA","United States","ENG",0,-80.864736363339,36.253249405661,-80.8647657,36.2538208,-80.8697657,-80.8597657,36.2488208,36.2588208," ","Yadkin Valley Sewer Authority",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Yadkin Valley Sewer Authority","CS370541-07","Loan","Not Applicable","Final Agreement",2020-04-07,770475,2022-05-30,643529,0,0,0,0,20,"No",0,643529,"No","No","No",NA,"No",0,0,0,0,0,"Dutchman Creek P.S. Elimination Project","The project will construct approximately 2,125 of 12 gravity sewer and 10 manholes to allow abandonment of the aging Dutchman Creek Pump Station.  Flow will discharge to the current Regional Pump Station.","Centralized Wastewater Treatment - New Collector Sewers: $643,529.00",NA,NA,5500,2021-06-01,2022-05-30,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1450171.25273554, 916464.140323585)
"75",75,"World","M",97.33,"A","Winterville Township, North Carolina","Winterville Township, NC, USA","Winterville Township","Locality","City","Winterville Township","Township of Winterville, North Carolina","","",21,"","","","","","","","","","","","","","","","","","","","","","","","Township of Winterville","","Pitt County","North Carolina","NC","","","","","USA","United States","ENG",0,-77.40234,35.53532,-77.40234,35.53532,-77.48034,-77.32434,35.45732,35.61332,"OF","Winterville, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Winterville, Town of","CS370879-02","Loan","Not Applicable","Final Agreement",2019-10-16,3532200,2022-10-20,3284617,0,0,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"Sanitary Sewer Rehabilitation 2019","Replacement of 3,800 LF of 8-inch to 12-inch gravity sewer and rehabilitation of 19,000 LF of 8-inch to 12-inch gravity sewer","Centralized Wastewater Treatment - Sewer System Rehabilitation: $3,284,617.00",NA,NA,3656,2021-01-25,2021-12-22,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2475288.71895716, 653582.715084717)
"76",76,"World","M",100,"M","Franklin County, North Carolina","Franklin County, NC, USA","Franklin County","Locality","County","Franklin County","North Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Franklin County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-78.285656447341,36.082777455716,-78.285656447341,36.082777455716,-78.532656447341,-78.038656447341,35.835777455716,36.329777455716," ","Franklin County",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Franklin County","CS370515-04","Loan","Not Applicable","Amendment",2019-09-20,8316000,2023-07-21,11003469,0,0,0,0,20,"Yes",217083,0,"No","No","No",NA,"No",0,0,0,0,0,"Franklin County WWTP Rehabilitation Project","Minor modifications of the grit unit; replacement of an aeration basin and a blower building; installation a clarifier splitter box; improvement of WAS pump station to include installation of one WAS pump and replacement of one WAS pump; replacement of existing aerobic digester with 1.0 MG aerobic digester; installation of  a septage receiving station; demolition of  aeration basin, digester and sludge drying beds; associated mechanical and electrical site work and yard piping.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $11,003,469.00",NA,NA,3188,2021-09-13,2023-07-21,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2211083.82936525, 849791.187782013)
"77",77,"World","M",79.29,"A","Water & Sewer Authority of Cabarrus County","Water & Sewer Authority of Cabarrus County, 6400 Breezy Ln, Concord, NC, 28025, USA","Water & Sewer Authority of Cabarrus County","POI","Government Office","Water & Sewer Authority of Cabarrus County","6400 Breezy Ln, Concord, North Carolina, 28025","(704) 788-4164","www.wsacc.org",22,"","6400","","","","R","","","Breezy","Ln","","","","","","","","","6400 Breezy Ln","","","","","Concord","","Cabarrus County","North Carolina","NC","","","28025","6972","USA","United States","ENG",0,-80.540963955474,35.327356923879,-80.5402986,35.3271716,-80.5452986,-80.5352986,35.3221716,35.3321716,"TUCKASEIGEE","Tuckaseigee Water & Sewer Authority",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Tuckaseigee Water & Sewer Authority","CS370843-04","Loan","Not Applicable","Initial Agreement",2020-03-06,4595300,2020-03-06,4595300,0,0,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"TWSA WWTP No2 Improvements - Phase 2","Replacement of the existing package plant with a 0.5 MGD dual train sequencing batch reactor.  Convert circular treatment unit into a post equalization basin, upgrade disinfection facilities from gas to liquid, modify plant blowers, construct new sludge holding tank and admin building, install SCADA system.","Centralized Wastewater Treatment - Advanced Treatment: $4,595,300.00","TUCKASEIGEE WATER & SEWER AUTHORITY","NCL039578",5282,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1540598.93551184, 577564.619580062)
"78",78,"World","M",96.86,"A","City of Mount Holly, North Carolina","City of Mount Holly, NC, USA","City of Mount Holly","Locality","City","City of Mount Holly","City of Mount Holly, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Mount Holly","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.01311,35.30751,-81.01311,35.30751,-81.06711,-80.95911,35.25351,35.36151,"","Mount Holly, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Mount Holly, City of","CS370747-01","Loan","Not Applicable","Initial Agreement",2019-12-11,18850000,2019-12-11,18850000,1.38,0,1.38,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Mount Holly WWTP Regionalization Project","Installation of pump station, 3,700 LF of dual 24-inch FM, and equalization tanks to regionalize with Charlotte at future Long Creek WWTP","Centralized Wastewater Treatment - Advanced Treatment: $18,850,000.00","MOUNT HOLLY WWTP","NC0021156",16135,2022-01-10,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1399452.74120858, 572934.102023471)
"79",79,"World","M",96.48,"A","City of Lumberton, North Carolina","City of Lumberton, NC, USA","City of Lumberton","Locality","City","City of Lumberton","City of Lumberton, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lumberton","","Robeson County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.01818,34.63087,-79.01818,34.63087,-79.08718,-78.94918,34.56187,34.69987,"","Lumberton, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Lumberton, City of","CS370455-05","Loan","Not Applicable","Final Agreement",2019-09-20,1000000,2023-03-08,936286,0,0,0,0,20,"Yes",468143,0,"No","No","No",NA,"No",0,0,0,0,0,"Sanitary Sewer Collection Sustem 2018 Priority Repairs and Rehabilitation","Rehabilitation of 9,900 LF of 8-inch and 6,430 LF of 10-inch gravity sewer via CIPP","Centralized Wastewater Treatment - Infiltration/Inflow Correction: $936,286.00",NA,NA,19025,2020-08-10,2023-03-08,"Not Applicable","Not Applicable",NA,NA,"Not Applicable","No",NA,c(1994531.10621185, 320591.576942675)
"80",80,"World","M",95.61,"A","City of Oxford, North Carolina","City of Oxford, NC, USA","City of Oxford","Locality","City","City of Oxford","City of Oxford, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Oxford","","Granville County","North Carolina","NC","","","","","USA","United States","ENG",0,-78.58499,36.31537,-78.58499,36.31537,-78.61999,-78.54999,36.28037,36.35037,"","Oxford, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Oxford, City of","CS370439-08","Loan","Not Applicable","Initial Agreement",2019-07-11,3468000,2019-07-11,3468000,0,NA,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"2017 B Sewer Line Replacement","Replacement of 8,997 LF of 8-inch and 732 LF of 10-inch gravity sewer, 45 manholes, and 61 service laterals.","Centralized Wastewater Treatment - Infiltration/Inflow Correction: $3,468,000.00",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(2122279.43386107, 933963.491009834)
"81",81,"World","M",96.8,"A","Warsaw Township, North Carolina","Warsaw Township, NC, USA","Warsaw Township","Locality","City","Warsaw Township","Township of Warsaw, North Carolina","","",21,"","","","","","","","","","","","","","","","","","","","","","","","Township of Warsaw","","Duplin County","North Carolina","NC","","","","","USA","United States","ENG",0,-78.0902,34.99498,-78.0902,34.99498,-78.1672,-78.0132,34.91798,35.07198,"OF","Warsaw, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Warsaw, Town of","CS370474-05","Loan","Not Applicable","Amendment",2019-06-12,4000000,2022-09-12,3989415,0,0,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"2017 Sanitary Sewer Improvements: Collection System & Treatment Plant","Find-and-fix rehabilitation/replacement of approximately 4,500 LF of 8-inch and 3,400 LF of 12-inch gravity sewer, and 30 manholes. 
Rehabilitation of the existing influent pump station to include replacement of three (3) existing 800 GPM influent pumps with three 1,050 GPM pumps, expansion of the wetwell, and replacement of the electrical controls; and, replacement of the existing tertiary filters including electrical controls and yard piping","Centralized Wastewater Treatment - Secondary Treatment: $1,994,707.50<br> Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,994,707.50",NA,NA,3105,2020-08-10,2022-09-12,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2272467.08352216, 454350.623322152)
"82",82,"World","M",100,"M","Burke County, North Carolina","Burke County, NC, USA","Burke County","Locality","County","Burke County","North Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Burke County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.704734405808,35.749589323232,-81.704734405808,35.749589323232,-81.970734405808,-81.438734405808,35.483589323232,36.015589323232," ","Burke County",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Burke County","CS370400-01","Loan","Not Applicable","Final Agreement",2019-05-21,1634000,2020-10-20,1618212,0,0,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"Eckard Creek Pump Station Rehab","Reconfiguration of existing 1,000 GPM dry-pit pump station to include two (2) 1,000 GPM suction-lift pumps with VFD’s; replacement of approximately 7,600 LF of existing 12-inch force main and abandonment in place of existing force main; including removal and replacement of pavement, roadways, driveways and curbs, sedimentation and erosion control devices, electric work, valves, yard piping, vaults, associated appurtenances.

Bid alternates include the cost for Gorman-Rupp pumps, replacement of the existing 175kW generator, and replacement of the mechanical bar screen with a new channel grinder.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,618,212.00",NA,NA,89293,2019-10-01,2020-07-27,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1197556.58915945, 738679.846991181)
"83",83,"World","M",95.61,"A","City of Oxford, North Carolina","City of Oxford, NC, USA","City of Oxford","Locality","City","City of Oxford","City of Oxford, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Oxford","","Granville County","North Carolina","NC","","","","","USA","United States","ENG",0,-78.58499,36.31537,-78.58499,36.31537,-78.61999,-78.54999,36.28037,36.35037,"","Oxford, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Oxford, City of","CS370439-06","Loan","Not Applicable","Amendment",2019-06-12,4696493,2023-10-27,7642139,0,0,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"2018 Sewer Line Replacement","Replacement of approximately 16,000 lf of 8-inch gravity sewer and 69 manholes; rehabilitation of 12 manholes, and reconnection of 233 services.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $7,642,139.00",NA,NA,8752,2022-06-01,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2122279.43386107, 933963.491009834)
"84",84," ","M",100,"PP","x=-82.299496, y=35.915619","","","","","","","","",0,"","","","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,"","East Yancey Water and Sewer District",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","East Yancey Water and Sewer District","CS370504-01","Loan","Not Applicable","Amendment",2019-06-12,565835,2022-05-10,1361311,0,0,0,0,20,"Yes",282918,0,"No","No","No",NA,"No",0,0,0,0,0,"East Yancey County Sewer Improvements - Phase 2","Installation of 5,080 lf of 12-inch gravity sewer at seven (7) stream crossings to connect to existing sewer previously installed, 25 manholes, and 30 service laterals.","Centralized Wastewater Treatment - New Collector Sewers: $1,361,311.00",NA,NA,490,2021-03-22,2023-11-09,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1023169.63215386, 804417.827489726)
"85",85,"World","M",96.86,"A","City of Reidsville, North Carolina","City of Reidsville, NC, USA","City of Reidsville","Locality","City","City of Reidsville","City of Reidsville, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Reidsville","","Rockingham County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.67307,36.33671,-79.67307,36.33671,-79.73707,-79.60907,36.27271,36.40071,"","Reidsville, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Reidsville, City of","CS370384-06","Loan","Not Applicable","Amendment",2019-05-16,3963089,2024-02-05,8860400,0,0,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Wastewater Treatment Plant Nutrient Removal Project","Modifications of existing aeration basins for BNR to include addition of baffle walls, mixers and internal recycling pumps; modification of existing aeration system in basin 2, replacement of aeration system in basin 1, replacement of RAS and WAS pumps, installation of new electrical controls, associated mechanical and electrical site work and yard piping.","Centralized Wastewater Treatment - Advanced Treatment: $8,860,400.00","HIDDEN VALLEY WWTP","NC0077135",13857,2024-03-02,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1801738.83504345, 942149.385986137)
"86",86,"World","M",100,"M","Davie County, North Carolina","Davie County, NC, USA","Davie County","Locality","County","Davie County","North Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Davie County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-80.544630659975,35.929153427239,-80.544630659975,35.929153427239,-80.710630659975,-80.378630659975,35.763153427239,36.095153427239," ","Davie County",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Davie County","CS370795-01","Loan","Not Applicable","Initial Agreement",2019-01-16,18199000,2019-01-16,18199000,1.53,0,1.53,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"East Davie Wastewater Collection System","Yadkin River Pump Station
Reverse flow and reduction in capacity by replacement of two (2) 1,286 gpm pumps with two (2) 610 gpm; and installation of approximately 4,700 LF of 8-inch force main.

Smith Creek Pump Station
Demolition of pump station; installation of approximately 3,600 LF of 18-inch gravity sewer and 16 MHs.  

Bermuda Run West Pump Station 
Installation of a duplex pump station with two (2) 2,900 gpm pumps, generator, electrical, valves, vaults, and associated appurtenances; and installation of approximately 6,600 LF of 16-inch force main.

East Davie Transfer Pump Station 
Installation of a 3,700 gpm triplex pump station with one (1) 2,450 gpm pump and two (2) 1,850 gpm pumps, generator, electrical, valves, vaults, and associated appurtenances; and installation of approximately 31,000 LF of 20-inch force main.","Centralized Wastewater Treatment - New Collector Sewers: $18,199,000.00",NA,NA,42456,2019-04-01,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1542716.14489548, 796666.651641104)
"87",87,"World","M",97.24,"A","City of Thomasville, North Carolina","City of Thomasville, NC, USA","City of Thomasville","Locality","City","City of Thomasville","City of Thomasville, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Thomasville","","Davidson County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.08071,35.88129,-80.08071,35.88129,-80.13071,-80.03071,35.83129,35.93129,"","Thomasville, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Thomasville, City of","CS370619-07","Loan","Not Applicable","Amendment",2018-12-11,1400000,2021-03-05,1711017,0,0,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Hank's Branch Sanitary Sewer Rehab Phase II","Rehabilitation of approximately 2,000 lf of 8-inch, 1,000 lf 10-inch, and 2,500 lf of 12-inch gravity sewer and 45 manholes; point repairs of 800 lf of 8-inch, 200 lf of 10-inch, and 2,000 lf of 12-inch gravity sewer; removal and replacement of pavement, roadways, driveways and curbs, and sedimentation and erosion control device.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,711,017.00",NA,NA,27183,2018-12-11,2023-02-09,"Not Assessed","Not Applicable",NA,NA,"Not Applicable","No",NA,c(1679862.37892823, 777428.814723352)
"88",88,"World","M",97.8,"A","Mt Gilead Town Office","Mt Gilead Town Office, 110 W Allenton St, Mount Gilead, NC, 27306, USA","Mt Gilead Town Office","POI","Government Office","Mt Gilead Town Office","110 W Allenton St, Mount Gilead, North Carolina, 27306","(910) 439-5111","www.mtgileadnc.com",22,"","110","","","","L","W","","Allenton","St","","","","","","","","","110 W Allenton St","","","","","Mount Gilead","","Montgomery County","North Carolina","NC","","","27306","8630","USA","United States","ENG",0,-80.002904605892,35.214600889001,-80.002987,35.214807,-80.007987,-79.997987,35.209807,35.219807,"","Mount Gilead, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Mount Gilead, Town of","CS370754-01","Loan","Not Applicable","Amendment",2019-05-16,3455000,2020-10-07,3340859,0,0,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"2017 Wastewater Improvements Project","Wastewater Treatment Plant 
Demolition of existing influent screening structure, grit handling structure, influent pump station and splitter box; replacement of headworks consisting of a mechanical bar screen, a manual bar screen and a grit removal system each rated for 3.4 MGD peak hourly flow; installation of 3.2 MGD new influent pump station to include two (2) 370 GPM pumps, two (2) 740 GPM pumps and one (1) 700 GPM pump each with VFDs; installation of lagoon draw off structure; 350 kW backup generator; electrical, valves, vaults, and associated appurtenances.

Pump Station #2 
Rehabilitation of wetwell; installation of a 60 kW backup generator; new water service line with a backflow preventer valve; piping, electrical and associated appurtenances. 

Pump Station #6
Demolition of existing wetwell and sewer manhole; replacement of wetwell and sewer manhole; installation of new water service line; piping, electrical and associated appurtenances.
 

Pump Station #10 
Installation of a 80 kW backup generator; electrical and associated appurtenances.","Centralized Wastewater Treatment - Secondary Treatment: $3,340,859.00","MOUNT GILEAD WWTP","NC0021105",1161,2019-07-29,2020-10-07,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1700434.47226335, 534619.000806189)
"89",89,"World","M",100,"M","Forsyth County, North Carolina","Forsyth County, NC, USA","Forsyth County","Locality","County","Forsyth County","North Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Forsyth County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-80.256351297232,36.130586983008,-80.256351297232,36.130586983008,-80.449351297232,-80.063351297232,35.937586983008,36.323586983008," ","Forsyth County",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Forsyth County","CS370882-01","Loan","Not Applicable","Initial Agreement",2018-09-18,4920300,2018-09-18,4920300,1.91,0,1.91,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Idols Road Regional Pump Station","Installation of approximately 1,145 LF of 30-inch gravity sewer, five (5) manholes, 4,100 gpm triplex pump station with three (3) 3,140 gpm pumps, 600kw generator, and 1,095 LF of 20-inch force main; including sedimentation and erosion control devices and electrical, valves, vaults, and associated appurtenances.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $4,920,300.00",NA,NA,376320,2019-06-19,2021-12-03,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1628983.41128389, 868784.025135611)
